index 103 response time is 25, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 104 response time is 16, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 105 response time is 37, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 106 response time is 35, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 107 response time is 16, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 108 response time is 23, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 109 response time is 28, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 110 response time is 27, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 111 response time is 28, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 112 response time is 32, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 113 response time is 20, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 114 response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 115 response time is 14, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 116 response time is 15, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 117 response time is 20, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 118 response time is 14, Membership leader : orderer4, favorite : orderer1 orderer3  follower : orderer2 
index 119 response time is 29, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 120 response time is 19, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 121 response time is 20, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 122 response time is 13, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 123 response time is 20, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 
index 124 response time is 23, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 125 response time is 22, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 
index 126 response time is 18, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1  
index 127 response time is 34, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1
deadtime is 101321, rejoin finish time is 1320 
index 128 response time is 23, Membership leader : orderer4, favorite : orderer2 orderer3  follower : orderer1 orderer5 
index 129 response time is 18, Membership leader : orderer4, favorite : orderer1 orderer2  follower : orderer3 orderer5 
